,CT=0.5,CT=0.1,CT=0.05,CT=0.01,CT=0.005,CT=0.001
0,2.0,2.0,2.0,2.0,2.0,2.0
1,2.0,2.0,2.0,3.0,4.0,91.0
2,2.0,2.0,2.0,6.0,16.0,370.0
3,2.0,2.0,3.0,11.0,37.0,617.0
4,2.0,2.0,2.0,20.0,70.0,789.0
5,2.0,2.0,2.0,26.0,109.0,871.0
6,2.0,3.0,2.0,39.0,138.0,923.0
7,2.0,3.0,4.0,46.0,182.0,946.0
8,2.0,4.0,5.0,64.0,258.0,981.0
9,2.0,4.0,6.0,95.0,319.0,980.0
10,2.0,3.0,6.0,96.0,356.0,979.0
11,2.0,4.0,8.0,125.0,417.0,988.0
12,2.0,5.0,7.0,146.0,444.0,991.0
13,2.0,5.0,8.0,173.0,534.0,993.0
14,2.0,4.0,11.0,198.0,585.0,994.0
15,2.0,4.0,11.0,225.0,626.0,998.0
16,2.0,5.0,9.0,241.0,669.0,995.0
17,2.0,5.0,14.0,263.0,697.0,993.0
18,2.0,4.0,14.0,309.0,752.0,996.0
19,2.0,4.0,18.0,304.0,736.0,996.0
20,3.0,6.0,15.0,345.0,779.0,998.0
21,2.0,5.0,16.0,364.0,806.0,997.0
22,2.0,6.0,20.0,425.0,842.0,1001.0
23,2.0,6.0,25.0,452.0,855.0,1001.0
24,2.0,5.0,18.0,473.0,861.0,1000.0
25,2.0,9.0,24.0,498.0,878.0,1000.0
26,2.0,8.0,29.0,508.0,892.0,997.0
27,2.0,7.0,29.0,518.0,893.0,1001.0
28,2.0,8.0,26.0,564.0,899.0,1000.0
29,3.0,6.0,31.0,575.0,915.0,999.0
30,2.0,7.0,31.0,584.0,918.0,1001.0
31,2.0,9.0,32.0,618.0,928.0,1000.0
32,2.0,10.0,32.0,625.0,938.0,1001.0
33,3.0,9.0,38.0,660.0,940.0,1000.0
34,3.0,8.0,37.0,673.0,948.0,1001.0
35,3.0,9.0,41.0,690.0,955.0,1000.0
36,3.0,11.0,40.0,707.0,949.0,1001.0
37,3.0,9.0,43.0,716.0,965.0,1000.0
38,3.0,14.0,39.0,743.0,958.0,1000.0
39,2.0,10.0,42.0,754.0,964.0,1001.0
40,3.0,14.0,48.0,763.0,965.0,1001.0
41,3.0,14.0,49.0,753.0,969.0,1001.0
42,3.0,16.0,49.0,761.0,962.0,1001.0
43,3.0,12.0,49.0,782.0,965.0,1001.0
44,3.0,14.0,49.0,774.0,959.0,1001.0
45,2.0,16.0,54.0,787.0,970.0,1001.0
46,3.0,15.0,57.0,815.0,973.0,1001.0
47,3.0,12.0,54.0,810.0,971.0,1000.0
48,3.0,15.0,59.0,817.0,978.0,1001.0
49,5.0,17.0,61.0,811.0,974.0,1001.0
50,4.0,15.0,62.0,830.0,984.0,1000.0
51,3.0,21.0,67.0,821.0,971.0,1001.0
52,4.0,17.0,69.0,829.0,963.0,1001.0
53,3.0,17.0,64.0,852.0,979.0,1001.0
54,3.0,22.0,64.0,846.0,983.0,1000.0
55,3.0,17.0,66.0,845.0,972.0,1001.0
56,4.0,17.0,67.0,861.0,983.0,1000.0
57,3.0,19.0,71.0,854.0,974.0,1001.0
58,3.0,20.0,66.0,847.0,980.0,1000.0
59,2.0,19.0,78.0,865.0,976.0,1000.0
60,4.0,23.0,73.0,851.0,974.0,1001.0
61,4.0,21.0,74.0,871.0,991.0,1000.0
62,3.0,24.0,69.0,858.0,978.0,999.0
63,4.0,21.0,81.0,864.0,989.0,1001.0
64,3.0,18.0,74.0,885.0,996.0,1001.0
65,4.0,23.0,84.0,877.0,981.0,1001.0
66,4.0,22.0,88.0,878.0,987.0,1000.0
67,4.0,22.0,80.0,871.0,986.0,1001.0
68,3.0,24.0,80.0,898.0,985.0,1001.0
69,3.0,24.0,80.0,892.0,986.0,1001.0
70,3.0,25.0,89.0,906.0,990.0,1001.0
71,4.0,26.0,90.0,897.0,981.0,1001.0
72,4.0,26.0,88.0,899.0,982.0,1001.0
73,3.0,24.0,92.0,911.0,991.0,1001.0
74,4.0,25.0,93.0,897.0,983.0,1001.0
75,3.0,27.0,98.0,905.0,992.0,1001.0
76,4.0,29.0,101.0,910.0,989.0,1001.0
77,3.0,24.0,99.0,903.0,987.0,999.0
78,5.0,25.0,101.0,916.0,985.0,1001.0
79,5.0,31.0,92.0,897.0,981.0,1001.0
80,3.0,25.0,102.0,934.0,990.0,1001.0
81,3.0,28.0,102.0,910.0,985.0,1001.0
82,3.0,32.0,111.0,905.0,986.0,1001.0
83,3.0,29.0,108.0,915.0,990.0,1000.0
84,3.0,31.0,115.0,927.0,989.0,1001.0
85,4.0,29.0,108.0,927.0,991.0,1001.0
86,5.0,31.0,116.0,915.0,990.0,1001.0
87,4.0,32.0,120.0,930.0,995.0,1001.0
88,3.0,34.0,106.0,934.0,990.0,1001.0
89,4.0,36.0,118.0,918.0,994.0,1001.0
90,5.0,25.0,108.0,918.0,990.0,1001.0
91,5.0,28.0,106.0,928.0,987.0,1001.0
92,4.0,36.0,125.0,917.0,996.0,1001.0
93,3.0,33.0,127.0,936.0,986.0,1001.0
94,4.0,29.0,119.0,932.0,990.0,1001.0
95,3.0,30.0,125.0,937.0,993.0,1001.0
96,2.0,38.0,134.0,929.0,989.0,1001.0
97,4.0,37.0,134.0,946.0,996.0,1001.0
98,3.0,34.0,141.0,934.0,993.0,1001.0
99,0.0,0.0,0.0,0.0,0.0,0.0
